respid,text,sex,age_cohort,political_id3,college
433,장기적으로 한국인이 되지 않을 경우에 이민을 확정해주고 싶은 생각은 없지만 재정착을 목적으로 온 경우가 한국에 더 오래 있을 것 같다,Female,18-29,Centrist,Some college or more
434,모르겠음,Male,18-29,Centrist,Some college or more
435,망명자로 영구 정착에 안정적,Female,50-59,Centrist,Some college or more
436,좀더 나라에 필요하고 성실하게 일하고 살아갈수있는 사람들을 뽑았다.,Male,18-29,Centrist,No college
437,그냥 그런 마음이 들었다.,Female,30-39,Centrist,Some college or more
438,틉별한 이유없음,Female,50-59,Conservative,Some college or more
439,같은 민족에게 기회를 주고 싶다,Male,50-59,Progressive,Some college or more
440,다른 후보보다 구직이나 정착의 절박함이 더 큰 것 같아서.,Male,30-39,Progressive,Some college or more
441,한국어를 하면서 여성이기 때문이다,Male,40-49,Centrist,Some college or more
442,사회에 도움이 될것 같음,Male,30-39,Centrist,Some college or more
443,괜찮아보여서,Female,50-59,Centrist,Some college or more
444,한국어를 사용할 수 있어서,Female,18-29,Centrist,Some college or more
445,계약완료,Male,40-49,Conservative,Some college or more
446,확실한 이유가 있어서,Female,40-49,Centrist,Some college or more
447,단기근무 보다는 망명을 원하는 사람에게 기회를 주는게 맞지 않나 싶다.,Male,30-39,Progressive,No college
448,내국인에 대한 위해감이 없고 사회적 분위기를 흐리지 않을거 같아 선택함,Female,40-49,Centrist,Some college or more
449,한국 이민에 대한 의지가 있는 사람 같아서,Female,30-39,Progressive,Some college or more
451,두 사람다 적당해 보인다.,Male,30-39,Progressive,Some college or more
452,"지리적으로 먼국가에서 왔기때문,",Male,50-59,Conservative,Some college or more
453,국내인력보호,Male,40-49,Centrist,Some college or more
454,이민의 목적이 확실해야함,Male,18-29,Progressive,Some college or more
455,"출신국, 이민 사유가 마음에 든다",Female,30-39,Progressive,Some college or more
456,교육,Female,40-49,Conservative,No college
457,이ㅡㄴ전,Female,40-49,Conservative,Some college or more
458,직장이 보장된것같아서,Female,30-39,Progressive,Some college or more
459,안정적인 직업과 재국 이유가 확실한것 같아서,Male,40-49,Centrist,Some college or more
460,국익과 안전,Female,40-49,Progressive,Some college or more
462,대한민국에대한 관심,Male,40-49,Progressive,Some college or more
463,한국에서 살기를 원하는 사람을 우선으로 지원해 줘야 한다,Female,40-49,Conservative,Some college or more
464,취업확실예정자라서,Female,60+,Conservative,Some college or more
465,한국어 실력 및 기술,Male,50-59,Conservative,Some college or more
466,한국어실력 및 재정착,Male,40-49,Centrist,Some college or more
467,확실한 직업의식,Male,40-49,Progressive,No college
469,별다른 이유는 없음,Male,40-49,Conservative,Some college or more
470,한국어 능숙과 직업,Male,40-49,Progressive,Some college or more
471,djqtdma,Male,60+,Centrist,No college
468,느낌적으로,Female,50-59,Centrist,Some college or more
115,신뢰,Female,60+,Conservative,Some college or more
472,"언어의 문제, 이민의 동기(망명, 학업, 취업 등) 인종 및 동포 여부",Male,30-39,Conservative,Some college or more
473,없음,Female,30-39,Centrist,Some college or more
475,유창한 한국어,Male,50-59,Centrist,Some college or more
476,민족적 폐쇄성이 높은 우리나라에서 북한사람은 그나마 우리문화에 적응하기가 쉽다,Male,18-29,Centrist,No college
477,여성,Female,18-29,Centrist,Some college or more
479,그냥,Female,40-49,Conservative,Some college or more
480,한국어구사능력 및 취업기준,Female,30-39,Progressive,Some college or more
481,동포인경우와 우리나라 언어의 유창성,Male,40-49,Centrist,Some college or more
482,신뢰가 간다,Female,40-49,Centrist,Some college or more
483,타국인중 우리나라를 더 좋아하는 나라의 이민 후보자를 선택하였음,Female,40-49,Centrist,Some college or more
484,"사회 내에서의 정착에 대한 의지가 취업 여부, 언어 시도 여부에서 엿보았다.",Female,30-39,Conservative,Some college or more
485,전문직,Male,50-59,Centrist,Some college or more
486,출신국가와 언어사용 능력때문에,Female,18-29,Centrist,Some college or more
487,한국말 사용 여부,Male,40-49,Progressive,Some college or more
488,싫음,Female,50-59,Centrist,No college
489,한국내 중국인 진찰에 유용할거 같고 전문직이라,Female,40-49,Centrist,Some college or more
490,이슬람교도는 위험해서,Male,60+,Centrist,No college
491,구직계획이 있어서,Female,40-49,Centrist,Some college or more
492,연구원,Female,60+,Progressive,No college
493,우리나라에서의 적응 가능성 및 기여도를 고려,Female,30-39,Progressive,Some college or more
494,위험의 척도,Male,40-49,Conservative,Some college or more
495,노력하는 모습이 보여서,Male,50-59,Progressive,Some college or more
496,의사소통이 무엇보다 중요하다고 생각해서,Female,40-49,Progressive,No college
497,재정착이며 서투르더라도 한국어를 사용할 줄 알기 때문,Female,18-29,Conservative,Some college or more
500,아는 지인중에 탈북자가잇기 때문에 북한 사람에 대한 인식이 좋다,Male,18-29,Conservative,No college
501,한국사회에 적응을 잘할것 같아서,Female,30-39,Centrist,Some college or more
503,한국문화에 쉽게 적응할 수 있을 것 같아서,Male,40-49,Progressive,Some college or more
504,예멘 보다는 일본인이 조금은 더 믿을만함,Male,30-39,Progressive,Some college or more
505,망명을 원하고 있어서 실제로 살아갈 터전을 원하고있고 직업도 확실하고 같은 동포이기 때문이다,Female,30-39,Progressive,Some college or more
506,믿응이 간다,Male,60+,Centrist,Some college or more
507,없음,Female,50-59,Centrist,No college
508,유창하지는 않지만 한국어를 배운 상태라 의사소통이 가능 할 것 같아서,Female,30-39,Centrist,Some college or more
510,구직 계획 있음,Female,50-59,Centrist,Some college or more
512,도움이 더 되는 쪽으로 생각했다,Male,40-49,Centrist,Some college or more
513,언어가 통해야지,Female,50-59,Centrist,No college
514,의사라는 직업은 중요한 직업이라 생각해서 선택하였습니다,Female,40-49,Conservative,No college
516,"예멘은 선호하지 않고, 북한동포는 선호하며, 한국에 이민왔을때 정서적, 종교적 영향을 미치지 않을것 같은 사람을 선호합니다. 공부를 많이하고 한국어를 해도 범법자나, 자신의 나라의 종교, 예의범절, 슴관, 음식등을 고집할수있는 사람이라면 이민허가를 고려해봐야한다고 생각합니다. 한국이 살기좋은 나라, 아이낳고 싶은 나라가 되기를 바랍니다. 모두 한국을 떠나 이민을 가고 싶어하니까요. 오히려 다른 나라 사람으로 한국을 채울경우 그래도 한국인의 정서가 유지될수있는 사람이면 어떨까합니다.",Female,50-59,Centrist,Some college or more
515,망명사유에 따라 다르겠지만 정치적이나 사회적 핍박을 벗어나기 위한 망명에 대해서는 물의를 일으키지 않는 선에서 받아주는것이 옳다고 생각한다,Female,30-39,Progressive,No college
517,"한국어 능력, 취업여부 등",Female,18-29,Progressive,No college
519,동포인지 먼저 확인하고 선택했다,Male,40-49,Progressive,Some college or more
520,신분보장,Male,60+,Progressive,Some college or more
521,취업계획 완료,Female,50-59,Centrist,No college
522,생계를 위한 이민이라,Male,18-29,Centrist,Some college or more
523,여성 농업인,Male,40-49,Progressive,Some college or more
524,동포라는 이유가 제일 큰거같다,Female,40-49,Centrist,No college
525,"고용주와 계약 완료를 하였고, 우리나라 언어를 구사한다는 점",Female,18-29,Centrist,Some college or more
527,목적이 보임,Female,30-39,Progressive,Some college or more
529,한국어 사용 유무와 직업,Female,40-49,Progressive,Some college or more
530,미국,Male,18-29,Centrist,Some college or more
531,망명은 생명과 직결 될것 같으므로 취업보다는 우선하여야 할것 같아 선택,Male,60+,Conservative,Some college or more
532,"여행을다녀와서,이해함.",Male,60+,Centrist,No college
533,어느정도 한국어 소통이 가능하고 유망해 보인다.,Male,50-59,Centrist,No college
534,우리나라에 해가 덜될것같은사람을 선택,Female,30-39,Centrist,Some college or more
535,될것같아서,Female,40-49,Centrist,Some college or more
536,안전할것 같다,Female,50-59,Centrist,Some college or more
537,내 주관적 느낌으로,Male,60+,Centrist,Some college or more
538,없음,Male,60+,Progressive,No college
539,우리나라에서 적응이 빠르것 같아서,Female,50-59,Centrist,Some college or more
540,목적이 분명하고 문제가 일어나지 않을거 같아서,Female,40-49,Centrist,No college
541,한국말이 가능하고 고용계약이 되있음,Female,40-49,Centrist,No college
542,직업상 좋다,Male,50-59,Centrist,Some college or more
543,계약 완료,Male,30-39,Centrist,Some college or more
544,확실한 구직활동을 목적으로 하므로,Male,40-49,Progressive,Some college or more
478,구직계획있으므로,Female,40-49,Centrist,Some college or more
545,사회적 약자,Female,30-39,Progressive,Some college or more
546,앙숙이지만 저들을 안받아주기에는 너무 너그럽지 못하단 생각이 듭니다.,Male,18-29,Centrist,Some college or more
547,일본인이니까,Male,60+,Conservative,Some college or more
548,딱히 선호하는 것은 아니고 두분다 이민을 받아들여야 한다고 생각함,Female,60+,Progressive,Some college or more
549,"직업이 연구과학자이고, 취업까지 완료된 상태였다. 언어적인 부분이 걸리지만 장기적으로 봤을때 한국에 도움이 될수 있는 사람이라고 생각을 했기 때문",Male,18-29,Progressive,Some college or more
550,좋음,Female,30-39,Centrist,Some college or more
551,한국어가 유창하다 의사로서 활동하려면 한국어가 가능한 사람이 진료에 훨씬 효과적이다,Male,50-59,Conservative,Some college or more
553,이미 한국에서 일에 관한 계약을 맺어서,Female,30-39,Centrist,Some college or more
554,테러위험이 없어보인다,Male,30-39,Conservative,No college
555,더 조건이 안좋은 상황,Female,40-49,Centrist,Some college or more
556,한국어 능력 이 있어서,Female,40-49,Conservative,No college
557,고도 기술력을 가져서,Male,18-29,Progressive,Some college or more
558,먼저 이민와서 정착하려는 목적이 국내에 부합해야하며 한국어를 익히려는 노력이 엿보여야하고 거주시 본국과 별개로 다른 문화에 융화하려는 노력이 있어야함,Female,40-49,Progressive,Some college or more
559,민족,Female,50-59,Centrist,Some college or more
560,미국보다는 중국이 더 나음,Female,50-59,Progressive,Some college or more
561,안전성,Male,40-49,Progressive,Some college or more
562,신뢰도,Male,30-39,Centrist,Some college or more
563,도움이 되는 사람들,Male,18-29,Centrist,Some college or more
564,같은 민족이기에,Female,40-49,Progressive,No college
565,같은 민족이니,Female,30-39,Conservative,Some college or more
566,한국어가 유창함,Male,50-59,Progressive,No college
567,유창한 한국어 실력,Male,50-59,Conservative,Some college or more
568,우리나라에서 문제를 일으킬것 같지가 않다,Male,40-49,Centrist,No college
569,"우선 한국어 가능 여부를 우선시했고, 그 다음은 기술 그다음 동포여부를 가림",Male,30-39,Progressive,Some college or more
570,여성이라서,Female,50-59,Conservative,Some college or more
572,일본은 우리의 주적이니까요,Male,50-59,Centrist,No college
573,믿음이 가서,Female,18-29,Progressive,Some college or more
576,우선은 동포나 이민자 위주로 선택권을 주는게 국내 노동자들도 보호하고 서로 상생할 수 있는 기회라고 생각함.,Female,40-49,Progressive,Some college or more
579,최근 한국으로 인입 되는 외국인의 사회적 문제가 많이 발생되어 그것을 초점으로 선택함,Female,30-39,Progressive,Some college or more
580,의사 동포 재정착,Female,60+,Progressive,Some college or more
581,"확실한 고용승계, 국적고려",Male,18-29,Conservative,Some college or more
582,소통의 가능성,Male,40-49,Centrist,Some college or more
583,"취업, 한국어 노력",Female,30-39,Centrist,No college
584,북한사람보다 훨씬 믿음직 스러워서,Female,50-59,Centrist,Some college or more
586,"이민자체를 허가하지 않는쪽 입장이긴 한데, 둘중에 굳이 한쪽을 고르자면 여성쪽을 선택했습니다. 제가 여자라서.",Female,30-39,Progressive,Some college or more
587,취업처가 예정되어있음,Female,18-29,Centrist,Some college or more
588,조금더 우리나라에 도움이 되는 사람을 뽑고자함,Female,30-39,Progressive,Some college or more
589,조금 더 끌려서,Female,18-29,Centrist,Some college or more
590,북한 출신,Female,50-59,Progressive,Some college or more
591,망명이니까,Male,18-29,Centrist,Some college or more
592,한국에서 제대로 일을 하고 사회 일원으로서 살아갈 의지가 있어서,Female,18-29,Conservative,Some college or more
593,NA,Male,18-29,Centrist,No college
594,망명은 생명의 위험때문으로,Male,60+,Centrist,Some college or more
595,그냥,Male,18-29,Centrist,No college
596,취업목적에 한국어를 할줄 알아서,Female,40-49,Conservative,Some college or more
597,잘 모르겠음,Male,40-49,Centrist,Some college or more
600,우리나라에 도움이 될것 같아서,Female,50-59,Conservative,Some college or more
602,국내에 도움이 되는지 1순위 고려,Male,50-59,Centrist,Some college or more
604,출신국가도 괜찮고 과학에 도움이 될 것 같아서,Male,18-29,Conservative,Some college or more
605,고용주와의 계약 완료,Male,60+,Centrist,Some college or more
607,"프로그래머의 경우, 한국어를 유창하게 할 필요가 없을 수 있어서",Female,18-29,Centrist,Some college or more
608,구직활동을 당장 할수있기에,Female,50-59,Progressive,Some college or more
609,의사소통의 가능,Female,18-29,Centrist,Some college or more
610,교사,Male,60+,Progressive,No college
611,"어차피 동포이고, 적응하려면 시간이 걸리겠으나, 적응할 수 있으리라 생각한다.",Female,40-49,Progressive,Some college or more
612,구직 경제활동여부,Male,18-29,Centrist,Some college or more
613,안전을 보장할 수 있어서,Female,50-59,Centrist,Some college or more
614,한국어 활용 가능 여부,Female,18-29,Progressive,Some college or more
615,동포,Male,18-29,Centrist,Some college or more
617,서툴더라도 한국어를 할 줄 안다는 것.,Male,18-29,Centrist,No college
618,한국 사회에 기여 가능 여부,Male,50-59,Centrist,Some college or more
619,적응의지여부,Male,40-49,Progressive,Some college or more
621,그냥,Female,18-29,Centrist,No college
622,우리 동포라서,Female,50-59,Conservative,Some college or more
623,유창한 언어 능력,Male,50-59,Conservative,Some college or more
624,한국어 구사,Female,40-49,Centrist,Some college or more
625,안정감있어서 선택하게 되었습니다.,Female,30-39,Conservative,Some college or more
626,모두 선호하지는 않지만 일본은 이미지가 싫어서 굳이 섡택해야 한다면 일본인이 아닌사람,Female,50-59,Centrist,Some college or more
627,직업이 의사라서.,Female,30-39,Centrist,Some college or more
628,정착에 별 어려움이 없을 것 같아서,Female,50-59,Centrist,Some college or more
629,이유,Female,18-29,Centrist,No college
630,한국 말을 할수 있으며 의사 직업을 가지고 있음. 또한 취업 면접까지 된 상태로 이민의 자격이 충분하다고 봄. 다만 망명의 사유는 확인이 되어야 함.,Male,40-49,Conservative,Some college or more
631,어느정도 익숙한 사람이 맞는 것 같다,Female,50-59,Progressive,Some college or more
632,NA,Female,30-39,Centrist,Some college or more
633,북한동포,Female,50-59,Progressive,Some college or more
634,오른쪽 후보자보다는 조금은 한국에 이민하려는 성의가 보여서,Female,30-39,Centrist,No college
635,취업은 국내 정착을 용이하게 한다.,Male,30-39,Progressive,Some college or more
637,북한 출신 동포,Male,50-59,Centrist,Some college or more
638,이유는 없습,Male,18-29,Centrist,No college
639,경력이 좋은 사람을 이민 후보자로 선정하기 좋기 때문,Male,18-29,Centrist,No college
643,선호는 아니지만 고급인력이면 필요할수도,Male,18-29,Centrist,Some college or more
644,우리나라에필요함,Male,30-39,Progressive,Some college or more
645,필요한 업종,Male,18-29,Conservative,Some college or more
646,잘 적응 할수 있을 것 같아서,Male,40-49,Centrist,Some college or more
648,이슬람이 아닌 사람을 더 원해서요,Female,50-59,Conservative,No college
44,직업이 마음에 들어서입니다.,Male,18-29,Conservative,No college
649,"직업, 한국어가능여부",Female,18-29,Progressive,Some college or more
650,선진국에서 온 이민자가 더 좋을것 같아서,Female,50-59,Centrist,No college
651,한국에 이민이 아니고 공부를 하러 오기때문,Male,60+,Progressive,Some college or more
652,민족성 및 나라의 선호도,Female,30-39,Centrist,No college
654,자국민에게도 도움이 되며 국가에도 도움이 된다고 생각합니다,Female,50-59,Centrist,No college
656,모르겠네,Female,40-49,Centrist,Some college or more
657,그냥마음에들어서,Male,60+,Conservative,No college
658,일본 미국 싫다,Male,60+,Centrist,No college
659,한국어가 유창하다는 것은 한국에 관심도를 보여줌,Female,18-29,Progressive,Some college or more
660,적응력이 높음,Male,50-59,Progressive,Some college or more
663,마음에들어서,Male,18-29,Centrist,Some college or more
664,모르겠다. 그냥 돕고 싶었다.,Male,18-29,Centrist,Some college or more
665,동포,Female,60+,Progressive,No college
666,직업이 의사이고 한국말을 할 수 있다는 점,Female,50-59,Conservative,Some college or more
667,문화의 유사성,Female,50-59,Centrist,Some college or more
669,안정적인 직업,Male,50-59,Progressive,Some college or more
670,언어가 가능하고 한국에 정착 가능한 기술직,Male,40-49,Progressive,Some college or more
671,저희 한국오는게 목적의식이 뚜렷해보이고 취업을위해 한국에오니까 기회를 주고싶어서 선택을 하였습니다 !,Female,18-29,Progressive,Some college or more
672,확실한 신원,Male,18-29,Centrist,Some college or more
674,호감도,Male,60+,Centrist,Some college or more
675,장기간 한국 사회에 거주하면서 사회에 동화되어 살아갈 대상,Male,40-49,Progressive,Some college or more
676,동포,Female,50-59,Progressive,Some college or more
678,무슨 이유에서 그런건지는 확실히는 모르지만 일단 망명이라고 하면 거부감이 들기 때문에 그 부분이 1순위고 어차피 올거라면 한국어를 유창하게 하는 사람이 왔으면 하는 바램.,Female,18-29,Centrist,Some college or more
679,둘다잘모르겠다,Female,30-39,Centrist,Some college or more
680,정치적 성향이 괜찮아요,Male,18-29,Centrist,Some college or more
681,언어가 가능해서 적응 하는데 좀 더 쉬울 것 같아서,Female,50-59,Centrist,Some college or more
682,"한국어 구사능력, 구하고자 하는 직업",Male,18-29,Conservative,Some college or more
683,우선 의사소통에 문제 없고 유창한 한국어를 사용한 다는 것은 이미 대한민국의 문화를 이해한다고 판단 함,Male,50-59,Centrist,Some college or more
684,목적의식이 없이 이민을 와서 실패할 경우 기존한국사회에 피해를 입힐 것 같아서 그나마 그렇지 않은 기준에서 선택,Female,40-49,Progressive,Some college or more
685,의사이고 그래도 좀 많이 배웠으니까,Male,18-29,Conservative,Some college or more
688,한국사회에 섞여 그나마 문제를 덜 일으킬것같은 타입,Male,18-29,Conservative,Some college or more
689,기피하는 업종에 인력이 증가하면 좋을듯 싶어서,Female,50-59,Centrist,No college
690,구직 활동을 확인하였음,Female,30-39,Centrist,Some college or more
691,한국 경제에 도움이 될 것 같아서,Female,40-49,Progressive,Some college or more
692,한국어를 조금이라도 할 수 있느사람이 적응하기 쉬울 것 같아서,Female,18-29,Centrist,Some college or more
693,동포적인면과 전문성있는기술,Female,30-39,Conservative,Some college or more
694,한국어가 가능하므로,Male,40-49,Conservative,Some college or more
695,동포,Male,18-29,Progressive,Some college or more
294,한국말을 하려고 노력했기 때문,Male,18-29,Centrist,No college
696,후보2보다 더 안전할 거 같아서,Male,30-39,Centrist,Some college or more
698,이민자 정책을 좀더 알것같아서,Female,30-39,Centrist,Some college or more
699,중국 보다 나아서,Female,30-39,Centrist,No college
700,"국내에 들어와서 생산적인 일을 하는사람, 어딘가에 속한 사람을 신뢰할 수 있을것같음",Female,18-29,Progressive,Some college or more
702,구직활동이 확정되어 있기 때문이다,Female,18-29,Centrist,No college
703,동포,Female,60+,Centrist,No college
704,전문적인 직업이 존재해서,Female,18-29,Centrist,Some college or more
19,국적이 좀 꺼려진다,Male,18-29,Centrist,Some college or more
706,재정착 한국 고용주와 계약완료,Female,60+,Conservative,Some college or more
709,일본에서의 망명은 거부시 어려움이 클 것으로 생각됨,Male,50-59,Progressive,Some college or more
710,가치 있는 이민자가 오기를 바랍니다.,Male,60+,Progressive,Some college or more
711,망명자라서?,Male,18-29,Centrist,No college
712,"출신국, 한국어 능력, 고용여부",Male,30-39,Centrist,Some college or more
714,더 많은 도움이 될것 같아서,Female,50-59,Centrist,Some college or more
715,이주사유,Female,18-29,Centrist,Some college or more
716,한국사회에 필요할 것 같아서,Male,50-59,Progressive,Some college or more
717,더 간절해보였음.,Female,18-29,Progressive,Some college or more
718,우리나라에 유익이될것 같아서,Female,60+,Centrist,Some college or more
719,북한 동포를 먼저 수용해야 한다,Male,60+,Conservative,Some college or more
720,직업이 더 유망하기 때문에,Female,18-29,Centrist,Some college or more
724,성실성이 있어서,Male,30-39,Centrist,Some college or more
726,언어가 통하고 이민 목적이 확실한것 같아서,Male,40-49,Centrist,No college
732,ㅎㅏㄴㄱㅜㄱㅇㅓㄹㅡㄹ ㅎㅏㄱㅗ ㄱㅗㅇㅛㅇㄱㅖㅇㅑㄱㅇㅣ ㄷㅗㅣㅇㅓㅆㅇㅡㅁㅡㄹㅗ,Male,50-59,Centrist,Some college or more
733,좋음,Female,30-39,Centrist,Some college or more
735,2세 생산가능,Male,60+,Conservative,Some college or more
737,구직활동계획,Male,40-49,Centrist,Some college or more
738,중국이 시러서,Female,60+,Centrist,Some college or more
742,한국 적응이 쉬울것 같아서,Female,30-39,Conservative,No college
743,구체적인 사유 없음,Male,50-59,Conservative,Some college or more
745,더 호감이 가서,Male,18-29,Progressive,Some college or more
746,동포,Female,50-59,Conservative,No college
748,친숙함,Male,40-49,Progressive,Some college or more
749,둘중 한명을 꼭 골라야 된다길래 그나마 조금이라도 괜찮을거같아서,Female,18-29,Centrist,No college
750,직업의 순위?,Female,30-39,Progressive,Some college or more
753,그냥,Male,40-49,Conservative,Some college or more
754,언어를 조금이라도 사용하는 사람에게 우선을 주는 것이 낫다고 생각함,Female,30-39,Centrist,Some college or more
755,잘 모르겠음,Male,60+,Centrist,No college
756,정착 적응,Male,50-59,Progressive,Some college or more
757,구직을 통한 재정착,Male,50-59,Conservative,Some college or more
758,잘 모르겠음,Female,50-59,Conservative,No college
759,인력난이 심한 '농부' 선호,Male,50-59,Conservative,No college
760,취업계획이 있으므로,Male,40-49,Progressive,Some college or more
761,다해주기 싫지만 둘중에 선택하라면 그렇다는 말이다 예맨은 받기 싫다,Female,40-49,Centrist,Some college or more
762,구직계획이 있고 한국어 능력이 우수함,Male,30-39,Progressive,Some college or more
763,동포인 부분,Male,18-29,Progressive,No college
764,"내 일자리를 위협하지 않고, 한국에서 사람들이 기피하는 일을 해 줄 것 같아서 입니다.",Female,30-39,Progressive,Some college or more
765,좋다,Female,30-39,Centrist,Some college or more
766,"한국민과 갗이 더불어 조화롭게 살수 있는지, 정착해서 생활이 가능한지 등을 봄",Male,60+,Centrist,Some college or more
769,한국실정에 맞음,Male,60+,Conservative,Some college or more
772,직업이 전문직이고 고용상태가 정해져 있어 해를 끼치지는 않을꺼라 생각함 그러나 출신이 신경쓰여 고민을 많이 했다,Female,30-39,Progressive,Some college or more
775,"중국,예멘 싫어서",Female,40-49,Conservative,Some college or more
776,한국사회에 도움이 될 것 같아 선택,Male,30-39,Centrist,Some college or more
779,선진국에서 왔으므로,Male,30-39,Centrist,Some college or more
781,일본인은 기회가 많을것 같음,Male,40-49,Conservative,Some college or more
784,"비슷한 조건이였지만 본인이 한국어를 직접사용하여 면접을 봤는지 안봤는지에 대한 기준으로 선택하였음. 중국사람의 경우 이민을 원하지만 한국어가 되지 않아 통역을 사를 이용하였으나, 북한사람의 경우 기본적인 의사소통은 충분히 가능하므로 북한사람을 선호",Male,18-29,Centrist,No college
786,국적,Female,60+,Centrist,No college
787,공부가 목적이라,Male,18-29,Progressive,Some college or more
788,적응을 더 잘 할 것 같아서,Female,30-39,Progressive,Some college or more
790,망명자,Male,60+,Centrist,Some college or more
796,한국으로 이민을 한다는 것은 곧 한국에서 산다는 의미로 해석이 될수도 있는데 그 나라에서 살기를 희망하면서 그 나라의 언어로 간단한 회화정도는 가능해야 한다고 생각하였음.,Female,18-29,Centrist,No college
798,선택은 자유,Male,40-49,Conservative,No college
799,직업이 우리 나라에 도움될 것 같아서,Male,40-49,Progressive,Some college or more
800,일본 보다는 그래도 미국인이 조금은 선호함 그리고 의사가 교사 보다는 가르치는 직업이 아니니까,Female,60+,Progressive,No college
806,한국어 수준을 기준으로 생각해보았습니다. 그리고 구직활동을 얼마나 했나 참고하였습니 .,Male,30-39,Conservative,Some college or more
807,없음,Male,40-49,Centrist,No college
818,확실한 취업처,Male,60+,Centrist,No college
821,장기적 진실성,Male,60+,Progressive,Some college or more
824,출신국,Female,60+,Conservative,Some college or more
825,의지,Male,30-39,Centrist,No college
826,언어소통,Male,60+,Progressive,Some college or more
827,없음,Male,30-39,Centrist,No college
828,선진국가 국민이라서,Male,18-29,Centrist,Some college or more
829,한국어 구사 능력.취업 가능성 유무,Male,40-49,Centrist,Some college or more
835,동포,Female,30-39,Centrist,No college
837,특별하고 한국에 도움이 된다,Male,30-39,Centrist,Some college or more
838,각 나라별 사람들이 모여 살면 여러가지의 지식이나 문화 기타등등 좋을것 같습ㄴ다,Male,40-49,Centrist,No college
840,북한으로 부터 망명을 하는 경우엔 불허 될시 북한에서 처벌을 받게 될테니 인도적으로 허락을 해줘야 한다.,Male,50-59,Conservative,Some college or more
841,망명과 공부 중에서 공부는 다시 돌아갈 것이기에,Male,50-59,Centrist,Some college or more
842,같은동포라서,Male,50-59,Progressive,Some college or more
843,능력과 인권,Male,50-59,Progressive,Some college or more
844,도착후에 안정적인 생활 확보,Male,40-49,Centrist,Some college or more
846,좋아서,Female,40-49,Centrist,Some college or more
849,한국에서적응잘할것갓아선택했어요,Male,40-49,Conservative,No college
851,취업계획을 중요시함. 대충와서 알아보겠다던지 무계획일경우 범죄에 악용되며 나중에 실제 범죄자가 될 가능성 있음.,Male,50-59,Conservative,Some college or more
852,농사를지어면서생활하면되니까,Male,50-59,Conservative,Some college or more
853,이민목적이 우리 사회에 유익 (단기근로와같이),Male,30-39,Progressive,Some college or more
856,느낌,Male,30-39,Progressive,No college
861,한국에서 경제활동을 할 의자가 있는 프로필 선호,Male,30-39,Centrist,Some college or more
866,한민족,Male,30-39,Progressive,Some college or more
868,선호보다는 거부감이 적은 직업과 성별,Male,60+,Progressive,Some college or more
870,"여성후보자 우선인 이유 : 정착이 목적인 경우가 많음 연구개발자는 기술 이전에 도움을 주며, 프로그래머는 검증이 될수 있는 툴이 미제공되어 검증이 반드시 필요합니다. 그래서 선택을 하였습니다.",Male,40-49,Centrist,Some college or more
871,이민 노,Male,50-59,Conservative,Some college or more
874,내용이 한국에 정착하려는 것 같아서 선택했습니다.,Male,30-39,Progressive,Some college or more
877,처음 신청,Male,50-59,Conservative,Some college or more
878,한국어 가능 목적이 확실함,Male,30-39,Progressive,Some college or more
881,선호하지 않는다,Female,18-29,Centrist,Some college or more
882,한국의 인력이 모자라므로(약간의 3D 업종?),Male,60+,Conservative,Some college or more
885,한국어 가능,Female,30-39,Centrist,Some college or more
889,일단 대화 소통을 위해 한국어를 배우기 위해 노력을 햇는가 여부가 이민에 대한 의지를 보여줄 수 있기에,Male,50-59,Centrist,Some college or more
890,법을 잘 준수할것 같음,Female,60+,Progressive,No college
891,고용계약이 확실히 체결된 자,Female,30-39,Centrist,Some college or more
892,구직활동 부분에 선호하게 됨,Female,30-39,Conservative,Some college or more
896,확실한 직업,Female,30-39,Centrist,Some college or more
897,구직활동을 하니까,Female,30-39,Conservative,Some college or more
898,취업허가,Male,30-39,Progressive,Some college or more
900,동포,Male,50-59,Progressive,Some college or more
901,왠지,Female,40-49,Centrist,No college
902,중국 동포는 신뢰성이 떨어짐.,Male,60+,Progressive,Some college or more
903,구직활동여부 및 조건,Female,30-39,Progressive,Some college or more
907,국내 경제에 도움이 되는냐의 여부,Male,40-49,Conservative,Some college or more
911,직업이잇자나요,Female,30-39,Progressive,Some college or more
918,경쟁자보다 나은것 같아서,Male,60+,Centrist,No college
921,동포라서,Male,60+,Centrist,No college
926,의사소통과 의도,Male,30-39,Centrist,Some college or more
927,국내 정착 사유의 판단,Male,40-49,Progressive,Some college or more
928,한국어 사용,Male,30-39,Progressive,Some college or more
929,허가받고 우리나라에서 할계획이있어서,Male,40-49,Centrist,No college
930,"동포, 공부, 여자",Female,40-49,Centrist,Some college or more
931,국적,Male,30-39,Progressive,Some college or more
933,취업 우선,Male,40-49,Centrist,No college
936,한국 사회에 빨리 적응할 것 같아서,Male,60+,Progressive,Some college or more
938,전문직,Male,60+,Conservative,Some college or more
941,그냥,Female,40-49,Centrist,Some college or more
944,특별한 이유는 없다,Female,30-39,Centrist,Some college or more
945,한국어를 할 수 있으며 구직가능성이 보임,Female,18-29,Centrist,Some college or more
947,한국사회에 어울려 이웃이 디기 쉽고 한국사람에게도 도움이 될수 있는 요건이 많기 때문임.,Male,60+,Conservative,Some college or more
948,범죄와의 연관성이 적어 보여서,Male,30-39,Conservative,Some college or more
